,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
373,Kutoarjo,72,ID,1579928516,69,-7.72,109.91,83.5,3.51
374,Qui Nhon,97,VN,1579928517,71,13.77,109.23,80.02,3.49
375,Kunduz,10,AF,1579928517,49,36.73,68.86,45.99,4.07
376,Camana,100,PE,1579928518,86,-16.62,-72.71,66.47,2.21
377,Chebarkul,50,RU,1579928519,84,54.97,60.36,9.34,11.01
378,Bak'urianis Andezit'i,31,GE,1579928286,85,41.73,43.47,2.55,3.91
379,Jumla,0,NP,1579928466,94,29.27,82.18,62.01,1.99
380,Meulaboh,9,ID,1579928289,70,4.14,96.13,84.36,2.89
381,Burlington,1,US,1579928453,75,39.88,-74.64,45.0,10.29
382,Petropavlovsk-Kamchatsky,100,RU,1579928522,73,53.05,158.65,23.0,6.71
383,Port Macquarie,40,AU,1579928523,70,-31.43,152.92,89.01,13.98
384,San Vicente,0,AR,1579928523,92,-26.62,-54.13,60.84,2.82
385,Barentu,15,ER,1579928523,39,15.11,37.59,64.62,2.64
386,Katsuura,75,JP,1579928523,49,35.13,140.3,52.0,6.93
387,Uspenka,100,UA,1579928523,64,48.39,39.16,32.61,20.78
388,Ust'-Omchug,88,RU,1579928524,95,61.15,149.63,-31.77,8.39
389,Durant,1,US,1579928239,74,33.99,-96.37,46.0,5.93
390,Skibbereen,40,IE,1579928524,93,51.55,-9.27,41.0,4.7
391,Enshi,100,CN,1579928288,74,30.3,109.48,41.45,2.37
392,Necochea,95,AR,1579928327,96,-38.55,-58.74,57.99,4.45
393,Sedhiou,78,SN,1579928525,39,12.71,-15.56,72.16,3.58
394,Grao Mogol,100,BR,1579928525,95,-16.56,-42.89,66.49,11.99
395,Vardo,100,NO,1579928525,63,70.37,31.11,26.94,6.69
396,Lianran,75,CN,1579928526,54,24.92,102.48,55.0,11.18
397,Norman Wells,90,CA,1579928526,83,65.28,-126.83,-7.6,3.36
398,Richards Bay,98,ZA,1579928526,75,-28.78,32.04,77.45,25.57
399,Rochegda,100,RU,1579928526,96,62.8,43.25,11.19,3.24
400,Sao Joao da Barra,100,BR,1579928527,90,-21.64,-41.05,73.13,5.95
401,Matagami,90,CA,1579928527,92,49.75,-77.63,10.4,3.36
402,Lixouri,76,GR,1579928527,70,38.2,20.43,57.33,6.26
403,Nanakuli,20,US,1579928528,78,21.39,-158.15,77.0,6.93
404,Neya,98,RU,1579928528,86,58.3,43.87,26.55,10.02
405,Malyye Derbety,100,RU,1579928528,90,47.95,44.68,32.0,27.65
406,Butembo,70,CD,1579928528,37,0.15,29.28,73.85,1.99
407,Anyang,87,CN,1579928529,37,36.1,114.33,45.82,2.77
408,Zhigansk,55,RU,1579928529,95,66.77,123.37,-41.04,10.36
409,Morant Bay,40,JM,1579928529,69,17.88,-76.41,78.8,5.82
410,Mount Isa,40,AU,1579928529,62,-20.73,139.5,87.8,12.75
411,Saint-Francois,5,FR,1579928530,92,46.42,3.91,33.01,2.24
412,San Miguel de Tucuman,100,AR,1579928530,78,-26.82,-65.22,75.2,5.82
413,Port Keats,60,AU,1579928531,73,-14.25,129.55,88.65,11.14
414,Prescott,1,US,1579928246,69,34.54,-112.47,46.0,5.82
415,Saravan,0,AM,1579928532,78,39.72,45.65,17.6,9.17
416,Caluquembe,74,AO,1579928532,93,-13.78,14.68,63.07,1.52
417,Goalpara,0,IN,1579928533,47,26.17,90.62,69.19,7.18
418,Bayir,0,TR,1579928533,79,37.27,28.22,28.4,4.7
419,Pizarro,84,CO,1579928534,81,4.95,-77.37,80.02,4.47
420,Storm Lake,90,US,1579928534,100,42.64,-95.21,28.4,12.75
421,Longyearbyen,20,SJ,1579928535,45,78.22,15.64,3.2,20.8
422,Youghal,40,IE,1579928535,93,51.95,-7.85,46.0,4.7
423,Kashgar,99,CN,1579928536,58,39.45,75.98,24.8,4.47
424,Fort Nelson,90,CA,1579928536,84,58.81,-122.7,8.6,5.82
425,Zeya,38,RU,1579928537,89,53.75,127.27,-11.42,4.07
426,Kizema,100,RU,1579928537,96,61.11,44.83,22.57,4.5
427,Deming,1,US,1579928538,74,32.27,-107.76,46.4,10.29
428,Poronaysk,100,RU,1579928539,70,49.22,143.12,3.51,12.95
429,Dunda,99,TZ,1579928540,93,-8.12,34.25,70.27,3.02
430,Raton,1,US,1579928540,68,36.9,-104.44,39.2,5.82
431,Zwedru,30,LR,1579928541,99,6.07,-8.13,69.69,1.16
432,Narrabri,40,AU,1579928541,48,-30.32,149.78,87.8,24.16
433,Ajdabiya,1,LY,1579928542,67,30.76,20.23,56.5,10.8
434,Guerrero Negro,100,MX,1579928543,79,27.98,-114.06,60.62,5.77
435,Sorong,73,ID,1579928543,60,-0.88,131.25,88.86,4.97
436,Galesong,20,ID,1579928544,63,-5.32,119.37,91.4,3.36
437,Krupanj,28,RS,1579928544,64,44.37,19.36,39.2,11.41
438,Ndioum,85,SN,1579928545,28,16.51,-14.65,78.96,10.54
439,Sucua,100,EC,1579928545,97,-2.47,-78.17,64.94,2.1
440,Mitchell,90,US,1579928546,85,43.71,-98.03,24.8,1.43
441,Vuktyl,90,RU,1579928546,98,63.86,57.31,-4.36,4.07
442,Kangaatsiaq,100,GL,1579928546,84,68.31,-53.46,16.9,18.7
443,Pokhara,0,NP,1579928547,43,28.23,83.98,64.76,3.38
444,Taoudenni,94,ML,1579928548,19,22.68,-3.98,72.88,5.99
445,Praia,74,CV,1579928548,56,14.92,-23.51,73.4,17.22
446,Romanovo,100,RU,1579928549,88,52.62,81.23,31.46,22.93
447,Itacare,90,BR,1579928549,94,-14.28,-39.0,78.8,3.36
448,Popondetta,100,PG,1579928550,84,-8.75,148.25,81.86,3.58
449,Shimoda,75,JP,1579928550,61,34.67,138.95,55.4,14.99
450,Ust-Tsilma,96,RU,1579928550,99,65.44,52.15,-7.15,1.45
451,Dawlatabad,0,AF,1579928551,55,36.41,64.91,48.04,2.04
452,Kuala Pilah,20,MY,1579928551,59,2.74,102.25,89.6,3.36
453,Ajmer,0,IN,1579928552,21,26.45,74.63,68.43,1.41
454,Fortuna,90,US,1579928262,93,40.6,-124.16,55.99,6.02
455,Usinsk,93,RU,1579928553,98,65.99,57.53,-3.59,6.49
456,Ciudad Guayana,8,VE,1579928393,94,8.35,-62.65,71.35,4.81
457,Zhengjiatun,0,CN,1579928554,73,43.51,123.51,16.12,3.49
458,Tabou,1,CI,1579928274,96,4.42,-7.35,75.81,1.79
459,Natal,75,BR,1579928364,78,-5.79,-35.21,80.6,10.29
460,Avanuorri,90,NO,1579928294,79,71.0,24.66,23.0,9.17
461,York,20,US,1579928555,75,40.13,-77.0,46.0,16.11
462,Marsassoum,51,SN,1579928556,69,12.83,-15.98,73.4,2.24
463,Mitzic,82,GA,1579928556,97,0.78,11.55,68.18,1.36
464,Mago,67,RU,1579928557,85,53.25,140.18,-7.17,5.32
465,Shahrud,68,IR,1579928557,69,36.42,54.98,29.41,10.65
466,Marang,40,MY,1579928558,70,5.21,103.21,84.2,4.7
467,Conde,75,BR,1579928558,88,-7.26,-34.91,78.8,5.82
468,Ahipara,0,NZ,1579928559,57,-35.17,173.17,84.0,1.01
469,Jacareacanga,100,BR,1579928560,97,-6.22,-57.75,73.63,1.23
470,New Bern,75,US,1579928376,77,35.11,-77.04,63.0,9.13
471,Turukhansk,100,RU,1579928560,94,65.82,87.98,15.08,9.8
472,Qaqortoq,100,GL,1579928561,73,60.72,-46.03,19.4,3.36
473,Bilibino,100,RU,1579928561,87,68.05,166.44,-13.7,3.02
474,Lorengau,36,PG,1579928562,67,-2.02,147.27,84.33,2.62
475,Batu,74,ID,1579928563,48,-7.87,112.53,86.74,3.42
476,Gopalpur,9,IN,1579928563,47,19.27,84.92,81.61,3.58
477,OErnskoeldsvik,0,SE,1579928563,68,63.29,18.72,32.0,12.75
478,Blairmore,1,CA,1579928564,64,49.6,-114.44,39.0,10.0
479,Kaisiadorys,90,LT,1579928565,86,54.87,24.45,39.2,13.87
480,Hambantota,100,LK,1579928565,79,6.12,81.12,84.2,13.87
481,Kamaishi,40,JP,1579928566,47,39.27,141.88,35.6,14.99
482,Ponta Delgada,75,PT,1579928280,71,37.73,-25.67,55.4,6.93
483,Monte Patria,11,CL,1579928567,72,-30.69,-70.95,60.93,1.19
484,Barbastro,90,ES,1579928567,100,42.04,0.13,44.01,2.24
485,Kannapolis,90,US,1579928568,93,35.49,-80.62,52.0,3.36
486,Nioro,24,GM,1579928568,28,13.35,-15.75,78.69,9.91
487,Malindi,75,KE,1579928568,88,-3.22,40.12,80.6,12.75
488,Constitucion,0,CL,1579928569,50,-35.33,-72.42,59.79,3.15
489,Wamba,48,NG,1579928415,15,8.93,8.6,61.25,3.91
490,Kalmunai,95,LK,1579928570,74,7.42,81.82,80.94,17.63
491,Charters Towers,100,AU,1579928571,48,-20.1,146.27,90.05,4.18
492,Edgewater,1,US,1579928571,93,28.99,-80.9,66.99,3.36
493,Halifax,75,CA,1579928515,92,44.65,-63.57,26.01,6.93
494,Kintampo,18,GH,1579928572,16,8.06,-1.73,68.85,2.77
495,Manoel Urbano,100,BR,1579928573,89,-8.84,-69.26,72.63,1.03
496,Biak,61,ID,1579928574,67,-0.91,122.88,84.36,7.7
497,Tuy Hoa,36,VN,1579928574,84,13.08,109.3,76.01,8.39
498,Bay Roberts,5,CA,1579928574,78,47.6,-53.26,15.01,6.93
499,Cockburn Town,16,TC,1579928575,63,21.46,-71.14,75.63,6.6
500,Oga,90,IT,1579928575,85,46.46,10.35,33.01,3.36
501,Mangan,0,IN,1579928576,22,27.52,88.53,48.7,5.48
502,Kungurtug,72,RU,1579928577,70,50.6,97.52,18.97,2.59
503,Bassano,97,CA,1579928578,74,50.78,-112.47,39.99,15.99
504,Maningrida,100,AU,1579928578,79,-12.07,134.27,84.96,18.54
505,Mahanje,100,TZ,1579928578,94,-9.93,35.33,68.79,0.69
506,Prince Rupert,90,CA,1579928579,93,54.32,-130.32,44.6,10.29
507,Paraiso,60,CR,1579928579,83,9.84,-83.87,70.0,3.36
508,Linqiong,90,CN,1579928414,42,30.42,103.46,51.8,2.24
509,Shiraz,0,IR,1579928432,29,29.6,52.54,32.0,0.69
510,Blagoyevo,100,RU,1579928581,96,63.37,47.92,3.04,5.53
511,Imola,75,IT,1579928419,93,44.35,11.72,44.01,5.82
512,Tarakan,63,ID,1579928573,71,3.3,117.63,84.74,10.67
513,Nurobod,40,UZ,1579928582,87,40.91,69.8,42.8,2.24
514,De Aar,0,ZA,1579928583,49,-30.65,24.01,71.49,17.09
515,Griffith,90,US,1579928583,100,41.53,-87.42,36.0,6.85
516,Rio Cuarto,6,AR,1579928584,73,-33.13,-64.35,71.6,5.82
517,Beloha,0,MG,1579928585,50,-25.17,45.05,81.09,17.58
518,Terra Santa,100,BR,1579928585,73,-2.1,-56.49,79.56,4.05
519,Te Anau,12,NZ,1579928292,72,-45.42,167.72,65.05,5.68
520,Dalby,75,AU,1579928586,100,-27.18,151.27,75.2,14.99
521,Pindi Gheb,75,PK,1579928587,53,33.24,72.27,51.8,6.93
522,Lodja,92,CD,1579928587,63,-3.48,23.43,73.33,0.74
523,Vryburg,50,ZA,1579928588,59,-26.96,24.73,71.11,16.87
524,Herat,6,AF,1579928588,86,34.5,62.0,39.2,2.24
525,Taunggyi,4,MM,1579928589,28,20.78,97.03,74.07,1.95
526,Taquari,0,BR,1579928590,88,-29.8,-51.86,71.6,4.7
527,Rio Gallegos,28,AR,1579928358,87,-51.62,-69.22,46.4,8.05
528,Maragogi,100,BR,1579928592,77,-9.01,-35.22,81.01,9.08
529,Northam,42,GB,1579928592,91,51.03,-4.22,45.0,1.99
530,Iracoubo,39,GF,1579928465,84,5.48,-53.2,78.82,14.92
531,Barabai,72,ID,1579928593,47,-2.58,115.38,94.26,3.02
532,Sarankhola,0,BD,1579928594,24,22.31,89.79,74.73,8.37
533,Victor Harbor,20,AU,1579928594,53,-35.57,138.62,79.0,8.05
534,Kansanshi,100,ZM,1579928595,99,-12.1,26.43,62.35,2.8
535,Fernley,75,US,1579928595,64,39.61,-119.25,42.8,4.21
536,Garden City,90,US,1579928596,100,42.33,-83.33,37.99,4.88
537,Pereslavl'-Zalesskiy,99,RU,1579928596,88,56.74,38.86,30.94,10.18
538,Batouri,5,CM,1579928596,23,4.43,14.37,60.26,2.46
539,Chernyshevskiy,100,RU,1579928597,97,63.01,112.47,-8.34,4.94
540,Rincon,90,US,1579928597,93,32.3,-81.24,60.01,3.36
541,Rudiskes,90,LT,1579928598,93,54.52,24.83,39.2,13.87
542,Camacha,40,PT,1579928598,63,33.08,-16.33,60.8,14.99
543,Urubicha,54,BO,1579928599,56,-15.38,-62.95,75.78,1.01
544,Bartica,22,GY,1579928599,94,6.4,-58.62,69.8,4.7
545,Praia da Vitoria,40,PT,1579928588,82,38.73,-27.07,57.2,20.67
546,Hit,50,IQ,1579928600,71,33.64,42.83,46.8,5.46
547,Dar es Salaam,75,TZ,1579928334,88,-6.82,39.27,80.6,11.41
548,Sitka,90,US,1579928601,80,57.05,-135.33,33.8,10.29
549,Baykit,86,RU,1579928604,95,61.67,96.37,19.45,4.41
550,Taltal,0,CL,1579928604,87,-25.4,-70.48,67.57,2.8
551,Churapcha,16,RU,1579928604,95,62.0,132.43,-35.7,4.07
552,Cayenne,75,GF,1579928605,88,4.93,-52.33,78.8,4.7
553,Tutoia,66,BR,1579928584,94,-2.76,-42.27,75.72,3.47
554,La Palma,90,US,1579928606,100,33.85,-118.05,62.01,5.82
555,Revelstoke,90,CA,1579928418,100,50.98,-118.2,33.8,5.82
556,Jatai,88,BR,1579928607,98,-17.88,-51.71,69.31,0.78
